	Exigl1_AssemblyScaffolds.fasta
GF00000294	scaffold_1399, scaffold_1532
GF00000295	scaffold_1591, scaffold_1106
GF00000296	scaffold_1502, scaffold_1668
GF00000297	scaffold_1609, scaffold_1472
GF00000298	scaffold_1417, scaffold_1571
GF00000299	scaffold_1661, scaffold_1098
GF00000300	scaffold_1271, scaffold_1236
GF00000301	scaffold_1462, scaffold_1567
GF00000302	scaffold_1487, scaffold_1527
GF00000303	scaffold_1282, scaffold_1522
GF00000304	scaffold_1384, scaffold_1467
GF00000305	scaffold_923, scaffold_1080
GF00000306	scaffold_896, scaffold_911
GF00000307	scaffold_1471, scaffold_1680
GF00000308	scaffold_1342, scaffold_1347
GF00000309	scaffold_1483, scaffold_1711
GF00000310	scaffold_1460, scaffold_1469
GF00000311	scaffold_1481, scaffold_1672
GF00000312	scaffold_1710, scaffold_1644
GF00000313	scaffold_1149, scaffold_1115
GF00000314	scaffold_1173, scaffold_1174
GF00000315	scaffold_1186, scaffold_1151
GF00000316	scaffold_1628, scaffold_1700
GF00000317	scaffold_1357, scaffold_1109
GF00000318	scaffold_1279, scaffold_1237
GF00000319	scaffold_1189, scaffold_1365
GF00000320	scaffold_1592, scaffold_1597
GF00000321	scaffold_1345, scaffold_1225
GF00000322	scaffold_1390, scaffold_1248
GF00000323	scaffold_1302, scaffold_1339
GF00000324	scaffold_1221, scaffold_1464
GF00000325	scaffold_1311, scaffold_1353
GF00000326	scaffold_1348, scaffold_1341
GF00000327	scaffold_1308, scaffold_1415
GF00000328	scaffold_1401, scaffold_1360
GF00000329	scaffold_1621, scaffold_1249
GF00000330	scaffold_1440, scaffold_1361
GF00000331	scaffold_1438, scaffold_1431
GF00000332	scaffold_1405, scaffold_1508
GF00000333	scaffold_1622, scaffold_1338
GF00000334	scaffold_1286, scaffold_1692
GF00000335	scaffold_1457, scaffold_1521
GF00000336	scaffold_1506, scaffold_1507
GF00000337	scaffold_1465, scaffold_1605
GF00000338	scaffold_1552, scaffold_1566
GF00000339	scaffold_1561, scaffold_1560
GF00000340	scaffold_1513, scaffold_1616
GF00000341	scaffold_1436, scaffold_1650
GF00000342	scaffold_1652, scaffold_1563
GF00000343	scaffold_1670, scaffold_1679
GF00000344	scaffold_1709, scaffold_1708
GF00000345	scaffold_37
GF00000346	scaffold_62
GF00000347	scaffold_93
GF00000348	scaffold_948
GF00000349	scaffold_1569
GF00000350	scaffold_1264
GF00000351	scaffold_1547
GF00000352	scaffold_1371
GF00000353	scaffold_1704
GF00000354	scaffold_1631
GF00000355	scaffold_1218
GF00000356	scaffold_1455
GF00000357	scaffold_1580
GF00000358	scaffold_1213
GF00000359	scaffold_1306
GF00000360	scaffold_1160
GF00000361	scaffold_1375
GF00000362	scaffold_1497
GF00000363	scaffold_1603
GF00000364	scaffold_1593
GF00000365	scaffold_1447
GF00000366	scaffold_1329
GF00000367	scaffold_1581
GF00000368	scaffold_1586
